Audiofile,start,end,class
S01_U04.CH4.wav,287.452,287.462,foreground
S01_U04.CH4.wav,287.462,287.483,background
S01_U04.CH4.wav,287.483,287.863,foreground
S01_U04.CH4.wav,287.863,287.983,background
S01_U04.CH4.wav,287.983,289.022,foreground
S01_U04.CH4.wav,289.022,289.202,background
S01_U04.CH4.wav,289.202,292.603,foreground
S01_U04.CH4.wav,292.603,292.663,background
S01_U04.CH4.wav,292.663,292.733,foreground
S01_U04.CH4.wav,292.733,293.832,background
S01_U04.CH4.wav,293.832,295.382,foreground
S01_U04.CH4.wav,295.382,296.293,background
S01_U04.CH4.wav,296.293,298.132,foreground
S01_U04.CH4.wav,298.132,298.553,background
S01_U04.CH4.wav,298.553,300.322,foreground
S01_U04.CH4.wav,300.322,300.592,background
S01_U04.CH4.wav,300.592,301.942,foreground
S01_U04.CH4.wav,301.942,302.462,background
S01_U04.CH4.wav,302.462,302.632,foreground
S01_U04.CH4.wav,302.632,303.913,background
S01_U04.CH4.wav,303.913,304.322,foreground
S01_U04.CH4.wav,304.322,305.702,background
S01_U04.CH4.wav,305.702,307.303,foreground
S01_U04.CH4.wav,307.303,307.962,background
S01_U04.CH4.wav,307.962,307.983,foreground
S01_U04.CH4.wav,307.983,308.062,background
S01_U04.CH4.wav,308.062,308.103,foreground
S01_U04.CH4.wav,308.103,309.952,background
S01_U04.CH4.wav,309.952,310.902,foreground
S01_U04.CH4.wav,310.902,311.072,background
S01_U04.CH4.wav,311.072,311.222,foreground
S01_U04.CH4.wav,311.222,311.233,background
S01_U04.CH4.wav,311.233,311.293,foreground
S01_U04.CH4.wav,311.293,311.462,background
S01_U04.CH4.wav,311.462,312.322,foreground
S01_U04.CH4.wav,312.322,314.022,background
S01_U04.CH4.wav,314.022,314.452,foreground
S01_U04.CH4.wav,314.452,315.243,background
S01_U04.CH4.wav,315.243,315.322,foreground
S01_U04.CH4.wav,315.322,316.173,background
S01_U04.CH4.wav,316.173,317.603,foreground
S01_U04.CH4.wav,317.603,319.252,background
S01_U04.CH4.wav,319.252,319.882,foreground
S01_U04.CH4.wav,319.882,319.923,background
S01_U04.CH4.wav,319.923,319.933,foreground
S01_U04.CH4.wav,319.933,320.342,background
S01_U04.CH4.wav,320.342,320.983,foreground
S01_U04.CH4.wav,320.983,322.543,background
S01_U04.CH4.wav,322.543,323.233,foreground
S01_U04.CH4.wav,323.233,323.793,background
S01_U04.CH4.wav,323.793,324.413,foreground
S01_U04.CH4.wav,324.413,324.613,background
S01_U04.CH4.wav,324.613,324.853,foreground
S01_U04.CH4.wav,324.853,324.863,background
S01_U04.CH4.wav,324.863,324.882,foreground
S01_U04.CH4.wav,324.882,324.933,background
S01_U04.CH4.wav,324.933,325.032,foreground
S01_U04.CH4.wav,325.032,325.952,background
S01_U04.CH4.wav,325.952,326.522,foreground
S01_U04.CH4.wav,326.522,327.092,background
S01_U04.CH4.wav,327.092,327.853,foreground
S01_U04.CH4.wav,327.853,328.072,background
S01_U04.CH4.wav,328.072,328.752,foreground
S01_U04.CH4.wav,328.752,329.522,background
S01_U04.CH4.wav,329.522,329.752,foreground
S01_U04.CH4.wav,329.752,331.262,background
S01_U04.CH4.wav,331.262,331.353,foreground
S01_U04.CH4.wav,331.353,331.373,background
S01_U04.CH4.wav,331.373,331.423,foreground
S01_U04.CH4.wav,331.423,331.452,background
S01_U04.CH4.wav,331.452,331.462,foreground
S01_U04.CH4.wav,331.462,331.472,background
S01_U04.CH4.wav,331.472,331.502,foreground
S01_U04.CH4.wav,331.502,333.923,background
S01_U04.CH4.wav,333.923,334.363,foreground
S01_U04.CH4.wav,334.363,335.053,background
S01_U04.CH4.wav,335.053,335.683,foreground
S01_U04.CH4.wav,335.683,336.892,background
S01_U04.CH4.wav,336.892,337.303,foreground
S01_U04.CH4.wav,337.303,339.442,background
S01_U04.CH4.wav,339.442,340.863,foreground
S01_U04.CH4.wav,340.863,341.202,background
S01_U04.CH4.wav,341.202,341.293,foreground
S01_U04.CH4.wav,341.293,341.303,background
S01_U04.CH4.wav,341.303,342.152,foreground
S01_U04.CH4.wav,342.152,342.793,background
S01_U04.CH4.wav,342.793,343.113,foreground
S01_U04.CH4.wav,343.113,343.243,background
S01_U04.CH4.wav,343.243,343.303,foreground
S01_U04.CH4.wav,343.303,344.173,background
S01_U04.CH4.wav,344.173,345.572,foreground
S01_U04.CH4.wav,345.572,346.012,background
S01_U04.CH4.wav,346.012,347.183,foreground
S01_U04.CH4.wav,347.183,348.043,background
S01_U04.CH4.wav,348.043,352.173,foreground
S01_U04.CH4.wav,352.173,352.702,background
S01_U04.CH4.wav,352.702,353.413,foreground
S01_U04.CH4.wav,353.413,353.863,background
S01_U04.CH4.wav,353.863,354.142,foreground
S01_U04.CH4.wav,354.142,354.452,background
S01_U04.CH4.wav,354.452,354.892,foreground
S01_U04.CH4.wav,354.892,355.163,background
S01_U04.CH4.wav,355.163,361.262,foreground
S01_U04.CH4.wav,361.262,362.402,background
S01_U04.CH4.wav,362.402,362.812,foreground
S01_U04.CH4.wav,362.812,364.632,background
S01_U04.CH4.wav,364.632,369.632,foreground
S01_U04.CH4.wav,369.632,369.962,background
S01_U04.CH4.wav,369.962,372.663,foreground
S01_U04.CH4.wav,372.663,373.202,background
S01_U04.CH4.wav,373.202,377.212,foreground
S01_U04.CH4.wav,377.212,377.222,background
S01_U04.CH4.wav,377.222,377.233,foreground
S01_U04.CH4.wav,377.233,377.312,background
S01_U04.CH4.wav,377.312,377.322,foreground
S01_U04.CH4.wav,377.322,377.363,background
S01_U04.CH4.wav,377.363,378.433,foreground
S01_U04.CH4.wav,378.433,378.782,background
S01_U04.CH4.wav,378.782,379.692,foreground
S01_U04.CH4.wav,379.692,380.243,background
S01_U04.CH4.wav,380.243,381.683,foreground
S01_U04.CH4.wav,381.683,382.152,background
S01_U04.CH4.wav,382.152,383.252,foreground
S01_U04.CH4.wav,383.252,384.312,background
S01_U04.CH4.wav,384.312,384.952,foreground
S01_U04.CH4.wav,384.952,385.702,background
S01_U04.CH4.wav,385.702,386.842,foreground
S01_U04.CH4.wav,386.842,391.123,background
S01_U04.CH4.wav,391.123,391.702,foreground
S01_U04.CH4.wav,391.702,392.293,background
S01_U04.CH4.wav,392.293,392.382,foreground
S01_U04.CH4.wav,392.382,392.392,background
S01_U04.CH4.wav,392.392,392.822,foreground
S01_U04.CH4.wav,392.822,392.853,background
S01_U04.CH4.wav,392.853,392.923,foreground
S01_U04.CH4.wav,392.923,395.493,background
S01_U04.CH4.wav,395.493,398.012,foreground
S01_U04.CH4.wav,398.012,398.363,background
S01_U04.CH4.wav,398.363,398.462,foreground
S01_U04.CH4.wav,398.462,398.493,background
S01_U04.CH4.wav,398.493,399.243,foreground
S01_U04.CH4.wav,399.243,399.512,background
S01_U04.CH4.wav,399.512,399.592,foreground
S01_U04.CH4.wav,399.592,399.663,background
S01_U04.CH4.wav,399.663,401.522,foreground
S01_U04.CH4.wav,401.522,401.983,background
S01_U04.CH4.wav,401.983,402.782,foreground
S01_U04.CH4.wav,402.782,403.493,background
S01_U04.CH4.wav,403.493,405.733,foreground
S01_U04.CH4.wav,405.733,406.233,background
S01_U04.CH4.wav,406.233,406.282,foreground
S01_U04.CH4.wav,406.282,406.803,background
S01_U04.CH4.wav,406.803,406.812,foreground
S01_U04.CH4.wav,406.812,406.822,background
S01_U04.CH4.wav,406.822,407.202,foreground
S01_U04.CH4.wav,407.202,410.342,background
S01_U04.CH4.wav,410.342,412.423,foreground
S01_U04.CH4.wav,412.423,412.882,background
S01_U04.CH4.wav,412.882,413.212,foreground
S01_U04.CH4.wav,413.212,414.423,background
S01_U04.CH4.wav,414.423,414.433,foreground
S01_U04.CH4.wav,414.433,414.452,background
S01_U04.CH4.wav,414.452,414.502,foreground
S01_U04.CH4.wav,414.502,415.332,background
S01_U04.CH4.wav,415.332,416.942,foreground
S01_U04.CH4.wav,416.942,419.532,background
S01_U04.CH4.wav,419.532,420.223,foreground
S01_U04.CH4.wav,420.223,422.572,background
S01_U04.CH4.wav,422.572,423.933,foreground
S01_U04.CH4.wav,423.933,425.053,background
S01_U04.CH4.wav,425.053,425.782,foreground
S01_U04.CH4.wav,425.782,426.312,background
S01_U04.CH4.wav,426.312,431.022,foreground
S01_U04.CH4.wav,431.022,431.962,background
S01_U04.CH4.wav,431.962,434.962,foreground
S01_U04.CH4.wav,434.962,435.183,background
S01_U04.CH4.wav,435.183,438.973,foreground
S01_U04.CH4.wav,438.973,439.582,background
S01_U04.CH4.wav,439.582,439.613,foreground
S01_U04.CH4.wav,439.613,439.623,background
S01_U04.CH4.wav,439.623,439.983,foreground
S01_U04.CH4.wav,439.983,441.243,background
S01_U04.CH4.wav,441.243,441.762,foreground
S01_U04.CH4.wav,441.762,442.892,background
S01_U04.CH4.wav,442.892,443.683,foreground
S01_U04.CH4.wav,443.683,444.812,background
S01_U04.CH4.wav,444.812,446.582,foreground
S01_U04.CH4.wav,446.582,447.592,background
S01_U04.CH4.wav,447.592,448.613,foreground
S01_U04.CH4.wav,448.613,449.022,background
S01_U04.CH4.wav,449.022,453.202,foreground
S01_U04.CH4.wav,453.202,453.502,background
S01_U04.CH4.wav,453.502,453.512,foreground
S01_U04.CH4.wav,453.512,453.712,background
S01_U04.CH4.wav,453.712,455.822,foreground
S01_U04.CH4.wav,455.822,456.512,background
S01_U04.CH4.wav,456.512,457.353,foreground
S01_U04.CH4.wav,457.353,458.062,background
S01_U04.CH4.wav,458.062,458.123,foreground
S01_U04.CH4.wav,458.123,459.392,background
S01_U04.CH4.wav,459.392,459.442,foreground
S01_U04.CH4.wav,459.442,459.493,background
S01_U04.CH4.wav,459.493,459.582,foreground
S01_U04.CH4.wav,459.582,460.123,background
S01_U04.CH4.wav,460.123,460.142,foreground
S01_U04.CH4.wav,460.142,460.332,background
S01_U04.CH4.wav,460.332,460.493,foreground
S01_U04.CH4.wav,460.493,460.502,background
S01_U04.CH4.wav,460.502,460.522,foreground
S01_U04.CH4.wav,460.522,460.712,background
S01_U04.CH4.wav,460.712,460.873,foreground
S01_U04.CH4.wav,460.873,461.092,background
S01_U04.CH4.wav,461.092,461.103,foreground
S01_U04.CH4.wav,461.103,461.322,background
S01_U04.CH4.wav,461.322,462.863,foreground
S01_U04.CH4.wav,462.863,462.923,background
S01_U04.CH4.wav,462.923,462.933,foreground
S01_U04.CH4.wav,462.933,463.103,background
S01_U04.CH4.wav,463.103,463.683,foreground
S01_U04.CH4.wav,463.683,464.022,background
S01_U04.CH4.wav,464.022,466.462,foreground
S01_U04.CH4.wav,466.462,467.152,background
S01_U04.CH4.wav,467.152,471.512,foreground
S01_U04.CH4.wav,471.512,472.282,background
S01_U04.CH4.wav,472.282,472.743,foreground
S01_U04.CH4.wav,472.743,472.832,background
S01_U04.CH4.wav,472.832,473.163,foreground
S01_U04.CH4.wav,473.163,473.223,background
S01_U04.CH4.wav,473.223,478.623,foreground
S01_U04.CH4.wav,478.623,479.803,background
S01_U04.CH4.wav,479.803,480.723,foreground
S01_U04.CH4.wav,480.723,480.733,background
S01_U04.CH4.wav,480.733,480.743,foreground
S01_U04.CH4.wav,480.743,481.663,background
S01_U04.CH4.wav,481.663,482.392,foreground
S01_U04.CH4.wav,482.392,482.532,background
S01_U04.CH4.wav,482.532,482.712,foreground
S01_U04.CH4.wav,482.712,483.262,background
S01_U04.CH4.wav,483.262,484.152,foreground
S01_U04.CH4.wav,484.152,484.272,background
S01_U04.CH4.wav,484.272,484.923,foreground
S01_U04.CH4.wav,484.923,485.142,background
S01_U04.CH4.wav,485.142,485.363,foreground
S01_U04.CH4.wav,485.363,485.442,background
S01_U04.CH4.wav,485.442,487.212,foreground
S01_U04.CH4.wav,487.212,488.032,background
S01_U04.CH4.wav,488.032,488.553,foreground
S01_U04.CH4.wav,488.553,489.293,background
S01_U04.CH4.wav,489.293,489.373,foreground
S01_U04.CH4.wav,489.373,489.522,background
S01_U04.CH4.wav,489.522,490.272,foreground
S01_U04.CH4.wav,490.272,490.332,background
S01_U04.CH4.wav,490.332,490.522,foreground
S01_U04.CH4.wav,490.522,491.382,background
S01_U04.CH4.wav,491.382,492.423,foreground
S01_U04.CH4.wav,492.423,492.793,background
S01_U04.CH4.wav,492.793,492.873,foreground
S01_U04.CH4.wav,492.873,492.902,background
S01_U04.CH4.wav,492.902,492.913,foreground
S01_U04.CH4.wav,492.913,492.923,background
S01_U04.CH4.wav,492.923,493.053,foreground
S01_U04.CH4.wav,493.053,494.952,background
S01_U04.CH4.wav,494.952,495.053,foreground
S01_U04.CH4.wav,495.053,495.082,background
S01_U04.CH4.wav,495.082,495.873,foreground
S01_U04.CH4.wav,495.873,495.942,background
S01_U04.CH4.wav,495.942,496.062,foreground
S01_U04.CH4.wav,496.062,496.103,background
S01_U04.CH4.wav,496.103,496.272,foreground
S01_U04.CH4.wav,496.272,497.322,background
S01_U04.CH4.wav,497.322,498.692,foreground
